stage,time,session,speaker
Sanctum Stage,9:00-10:00,Arrival & Check-in,
Sanctum Stage,10:00,Opening Ceremony,
Sanctum Stage,10:40,The Hidden Architecture of Reality,Sir Robert E Grant
Sanctum Stage,11:20,The Transition We Are,Charles Eisenstein
Sanctum Stage,12:00,Breathwork Journey,Camille Lorenzetti
Sanctum Stage,12:30-14:00,Lunch and Chill,
Sanctum Stage,14:00,Giza World Premiere,"Sir Robert E Grant, Dr. Filippo Biondi"
Sanctum Stage,15:00,Soul Whisper,Tammy Weis
Sanctum Stage,15:30,The Memory Beneath History,Sarah Breksman Cosme
Sanctum Stage,16:20,Poems of the Ancient Future,Luke Kohen
Sanctum Stage,16:40,Awakening the Holy Grail,Timothy Hogan
Sanctum Stage,17:50,The age you were born into is ending. You Are Here,Debra Silverman
Sanctum Stage,18:30,Your Body already knows how to heal itself,Chervin Jafarieh
Sanctum Stage,19:05,The Holy Grail in the Stars,Robert James Cumber
Sanctum Stage,20:00,Closing,
Fernando Pessoa Stage,10:30,O Chamado,Bárbara Barradas interpreta "O Infante"
Fernando Pessoa Stage,10:40,Abertura do Campo,Cristiana Vaz Franco
Fernando Pessoa Stage,11:00,A Alma Secreta de Portugal,José Medeiros
Fernando Pessoa Stage,12:00,O Quinto Império do Espírito Santo,José Manuel Anes
Fernando Pessoa Stage,12:50-13:50,Lunch and Chill,
Fernando Pessoa Stage,13:50,As camadas invisíveis do Quinto Império,"Alexandre Gabriel, Teresa Mesquitela, Luís Costa Campos, José Gil Duarte"
Fernando Pessoa Stage,14:30,Teoria e Prática do Quinto (não) Império,Paulo Borges
Fernando Pessoa Stage,15:25,Identidade e Tempo do Quinto Império,João Medeiros
Fernando Pessoa Stage,16:20,Do Espírito para a Matéria,Cristiana Vaz Franco
Fernando Pessoa Stage,17:15,O Futuro é Ancestral,Marta Sundari
Fernando Pessoa Stage,18:00,Encerramento do Palco,
Fernando Pessoa Stage,,Poesia,Daniela Gandra
Root Stage,8:00,Arrival & Check-in,
Root Stage,9:00,Yoga Flow in the Meadow,Julia Pieper
Root Stage,10:00,Openheart Breathwork,"Nuno Kampos, Lisa Jones"
Root Stage,11:00,Opening Ceremony,
Root Stage,11:11,Boogie & Brunch,
Root Stage,12:35,Where Science Meets the Sacred,Jennifer K. Hill
Root Stage,14:00,The Sacred Union Lives Here,Sofia Sundari
Root Stage,15:00,Humanity transforms when we return to our original design,"Dr. Lara Wegener, Shani Leher, Alessa Berg, Lucian Tarowski (moderator)"
Root Stage,15:45,Next Level Woman,Nevsah Karamehmet
Root Stage,17:00,"Song, voice, rhythm, and medicine","Jack Weaver, Reachel Singh, Vinay Vayas, Baltazar Molina"
Root Stage,19:00,Sunset Concert,Sam Garrett
Root Stage,20:00,DJ set & Movement,"Juliette Invigor, Joanna Lewins, Avishag Gaya"
Root Stage,22:00,Closing Ceremony,
